,word,freq,stream
493,di,2,514712072.5365854
494,shivers,1,1302184087.0
495,igualito,1,158950978.0
496,apï,1,158950978.0
497,shoong,1,76910644.0
498,lisa,1,76910644.0
499,blackpink,1,76910644.0
500,komang,1,137123880.0
501,despechï,1,782369383.0
502,look,3,447710492.25
503,watch,1,207033255.0
504,arizonatears,1,207033255.0
505,pluggnb,1,207033255.0
506,se,3,555017993.9
507,punto,2,342620406.5
508,lovers,1,466231982.0
509,metamorphosis,1,357580552.0
510,mami,1,388848598.0
511,chula,1,61105704.0
512,en,4,478207001.0273973
513,paris,1,198275403.0
514,free,1,168448603.0
515,rm,1,474820235.38461536
516,gato,1,304118600.0
517,noche,4,364750905.4
518,english,1,173627354.0
519,rosa,1,90025258.0
520,pastel,1,90025258.0
521,sunroof,1,652704649.0
522,lose,1,1225252612.0
523,soundtrack,3,867284207.6666666
524,superman,1,655466831.0
525,mas,1,568172088.451613
526,rica,1,101749368.5
527,ayer,1,240742226.5
528,iu,1,117166845.0
529,exclusivo,1,117206995.0
530,arcï,1,100409613.0
531,½ngel,1,100409613.0
532,dogtooth,1,80758350.0
533,10,3,369107331.1666667
534,35,1,325592432.0
535,sorry,2,58473276.0
536,happy,2,256607895.5
537,pr1svx,1,77377503.0
538,late,2,293243402.0
539,talking,2,903325120.5
540,leï,1,267789608.0
541,ariana,1,1221813483.0
542,grande,1,1221813483.0
543,orange,1,449701773.0
544,void,1,67070410.0
545,dijeron,1,116334601.0
546,iba,1,116334601.0
547,lograr,1,116334601.0
548,midnight,1,433356509.0
549,broke,3,483976320.0
550,proof,1,367814306.0
551,inocente,1,477033549.0
552,malas,1,156214700.0
553,decisiones,1,156214700.0
554,murder,1,448843705.0
555,mind,2,360828367.25
556,gangsta,1,1357608774.0
557,paradise,1,1357608774.0
558,cairo,1,294352144.0
559,dark,3,896432314.3333334
560,red,3,664800777.0
561,won,1,1162744307.3333333
562,hills,1,1947371785.0
563,peaches,2,757079326.5
564,mario,1,68216992.0
565,bros,1,68216992.0
566,movie,1,68216992.0
567,marisola,1,223582566.0
568,lokera,1,471819764.0
569,low,1,1104333094.1666667
570,numb,3,638482243.3333334
571,tormenta,1,149778242.0
572,bunny,2,462660157.0
573,street,1,491119943.5
574,time,7,448300502.7
575,miss,2,419972113.3333333
576,ainï,1,88791109.0
577,tha,1,428822693.5714286
578,thinkinï,1,125917280.0
579,private,1,105062254.0
580,landing,1,105062254.0
581,sial,1,166570053.0
582,wrote,1,83021468.0
583,book,1,83021468.0
584,apna,1,139836056.0
585,bana,1,139836056.0
586,le,2,470249152.9875
587,bhediya,1,139836056.0
588,spit,2,302543074.0
589,face,2,290948228.6666667
590,playa,1,221409663.0
591,inglï,1,221409663.0
592,bar,2,99853330.5
593,eric,1,57989998.5
594,ruby,1,81419389.0
595,sleeze,1,81419389.0
596,kahani,1,156777415.0
597,suno,1,156777415.0
598,gets,1,284908316.0
599,pero,1,93438910.0
600,hype,1,613614610.0
601,bloody,1,372476382.0
602,mary,2,379778282.5
603,monotonï,1,380726517.0
604,ýýý98,1,56533272.0
605,braves,1,56533272.0
606,wanda,1,175399345.0
607,thought,2,131951203.5
608,end,1,516993067.6923077
609,zona,2,217983563.66666666
610,perigo,1,134294498.0
611,lovezinho,1,70069745.0
612,happier,4,732364239.5
613,song,3,596273083.0
614,doja,2,545775432.0
615,cat,1,448286130.5
616,neverita,1,671365962.0
617,vista,1,362361576.0
618,al,2,448967402.72839504
619,mar,1,259733114.63636363
620,sem,1,180050540.33333334
621,alianï,1,93587665.0
622,enemy,2,1223481149.0
623,arcane,2,1223481149.0
624,league,3,926489550.6666666
625,legends,3,926489550.6666666
626,bombonzinho,1,263453310.0
627,canciï,1,1435127549.0
628,quï,2,478841330.5
629,ago,1,285725479.0
630,hours,1,698086140.0
631,damn,2,723894473.0
632,born,2,56773122.0
633,beer,1,34450974.0
634,hand,2,136400661.0
635,ýýýýýýýýýýýýýýýýýýýýý,1,403097450.0
636,besos,1,309483971.0
637,moja2,1,309483971.0
638,maan,1,319566866.0
639,meri,1,188327966.0
640,jaan,1,319566866.0
641,moscow,1,909001996.0
642,mule,1,909001996.0
643,universe,1,1061966512.0
644,devil,1,32526947.0
645,llylm,1,124988687.0
646,make,3,142271897.75
647,friends,2,113991191.0
648,trustfall,1,134255790.0
649,antifragile,1,301051721.0
650,vibe,1,152850295.0
651,shirt,1,309653982.0
652,lift,1,297328960.0
653,black,1,190627799.66666666
654,panther,1,297328960.0
655,wakanda,1,297328960.0
656,forever,2,290106064.5
657,inspired,1,297328960.0
658,star,1,876032575.9090909
659,walkin,1,332506354.0
660,worlds,1,332506354.0
661,sex,1,485226453.0
662,drugs,1,480507035.0
663,luv,2,709822780.5
664,halsey,2,594526726.0
665,mickey,1,122763672.0
666,jhoome,1,1365184.0
667,jo,1,280763505.6666667
668,pathaan,2,70776101.0
669,sped,2,183069942.5
670,dreamers,1,323358833.0
671,fifa,1,323358833.0
672,cup,1,256254388.8
673,qatar,1,323358833.0
674,2022,1,323358833.0
675,official,1,323358833.0
676,te,4,519789693.6760563
677,felicito,1,606361689.0
678,muï,1,120972253.0
679,tv,2,204789974.0
680,heather,1,1301799902.0
681,besharam,1,140187018.0
682,rang,1,294944395.5
683,kiss,2,1736492451.0
684,dua,3,746214633.6666666
685,lipa,3,746214633.6666666
686,ride,2,256153472.0
687,venom,1,551305895.0
688,wait,2,740389286.5
689,drake,2,363659057.5
690,tems,1,556585270.0
691,start,1,2303033973.0
692,eu,1,205611721.6
693,gosto,1,207398281.33333334
694,assim,1,222612678.0
695,industry,1,1814349763.0
696,jack,1,934643877.0
697,harlow,1,1814349763.0
698,middle,1,872137015.0
699,atlantis,1,571386359.0
700,40,1,304079786.0
701,evoque,1,174006928.0
702,prata,1,174006928.0
703,goodbye,1,284785823.0
704,blind,1,1933589537.0
705,gatita,1,168684524.0
706,rumble,1,78489819.0
707,niagara,1,195516622.0
708,falls,1,195516622.0
709,foot,1,195516622.0
710,yonaguni,1,1260594497.0
711,freaky,2,290963279.5
712,girl,4,291519981.4285714
713,running,1,1024858327.0
714,hill,2,1031815609.6666666
715,deal,1,1024858327.0
716,god,3,493665389.5
717,dream,1,746506056.2
718,limbo,1,199386237.0
719,worth,1,213438580.0
720,habits,1,1555511105.0
721,kick,1,210038833.0
722,evergreen,1,227918678.0
723,didnï,1,227918678.0
724,deserve,1,227918678.0
725,days,2,623832000.5
726,levitating,2,1299855187.0
727,dababy,1,1802514301.0
728,woman,2,777174647.5
729,ferrari,1,462791599.0
730,kid,1,190704446.0
731,kesariya,1,366599607.0
732,brahmastra,1,366599607.0
733,agudo,1,90598517.0
734,½gi,1,139766009.5
735,payphone,1,1479264469.0
736,want,3,830722695.1666666
737,christmas,17,510729282.64705884
738,rockin,1,769213520.0
739,tree,3,607994469.1666666
740,jingle,2,459981011.0
741,bell,1,333917887.5
742,beginning,2,551780202.0
743,lot,2,408249886.6666667
744,santa,2,796668923.0
745,tell,2,422229774.6666667
746,wonderful,2,533885792.0
747,year,2,462474517.5
748,snowman,1,690104769.0
749,underneath,1,485285717.0
750,navidad,1,520034544.0
751,holly,2,435918095.5
752,jolly,2,435918095.5
753,mistletoe,1,629173063.0
754,sleigh,1,404664135.0
755,seek,1,98709329.0
756,destroy,1,98709329.0
757,language,1,110849052.0
758,xmas,1,460492795.0
759,war,2,320937692.5
760,used,2,775572541.0
761,single,2,320471172.5
762,merry,3,292377429.3333333
